descriptor_id,emotion,guidance,source_short
direct,neutral,"Use clear, plain language and state the purpose of the response quickly. Avoid overexplaining or adding emotional interpretation when no emotion is evident.",Bickmore & Picard 2005 - 10.1145/1067860.1067867; Rashkin et al. 2019 - 10.18653/v1/P19-1534; Rains & High 2021 - 10.1093/joc/jqab010; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010
indirect,neutral,"Use gentle, optional phrasing and leave room for the user to steer. Avoid sounding overly directive when the emotional signal is low.","Bickmore & Picard 2005 - 10.1145/1067860.1067867; Rashkin et al. 2019 - 10.18653/v1/P19-1534; Rains & High 2021 - 10.1093/joc/jqab010; Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208"
suppression,neutral,"Keep the response efficient and low-demand, but do not assume the absence of emotion means the absence of need. Offer a lightweight check-in and a clear path forward.",Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348
expressive,neutral,"Invite the user to talk through context if they want, but do not create emotion where none is present. Use reflective listening before offering interpretation.",Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x
reappraisal,neutral,Use light perspective-taking only when helpful and keep the default tone balanced. Avoid over-reframing a neutral state.,"Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,neutral,"Offer efficient next steps, checklists, or information when a task is present. Avoid adding emotional processing unless the user signals distress.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view
emotional_support,neutral,Use light warmth and availability without over-personalizing the interaction. Avoid emotional intensity that exceeds the user's state.,High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163
mixed_support,neutral,"Begin with a light check-in, then offer either information or emotional support depending on the user's goal. Avoid locking into one support mode too early.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839
avoidant_attachment,neutral,Keep support available but low-pressure. Avoid demanding disclosure or emotional intimacy without invitation.,"Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,neutral,"Use steady, responsive language that signals availability without overpromising. Avoid ambiguity that could invite unnecessary reassurance seeking.","Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,neutral,"Use balanced, responsive support and adapt to the stated goal. Avoid overpersonalizing when the user has not requested emotional support.",Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006
direct,calm,"Maintain concise, steady pacing and confirm the next useful step. Avoid unnecessary reassurance or dramatic warmth that could feel mismatched.",Bickmore & Picard 2005 - 10.1145/1067860.1067867; Rashkin et al. 2019 - 10.18653/v1/P19-1534; Rains & High 2021 - 10.1093/joc/jqab010; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010
indirect,calm,"Keep the tone relaxed and collaborative, using suggestions rather than commands. Avoid introducing urgency where the user appears settled.","Bickmore & Picard 2005 - 10.1145/1067860.1067867; Rashkin et al. 2019 - 10.18653/v1/P19-1534; Rains & High 2021 - 10.1093/joc/jqab010; Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208"
suppression,calm,Support the user's composure with concise structure and summaries. Avoid probing for hidden feelings unless safety or context requires it.,Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348
expressive,calm,Maintain space for reflection and help the user articulate what is working. Avoid rushing into advice when processing may be the goal.,Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x
reappraisal,calm,Support calm by reinforcing useful interpretations and controllable next steps. Avoid introducing counterfactuals that create unnecessary concern.,"Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,calm,"Use the calm state to plan, prioritize, or complete small actions. Avoid over-supporting when the user is already regulated.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view
emotional_support,calm,Affirm steadiness and maintain a supportive presence. Avoid pushing the user to analyze feelings that are already regulated.,High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163
mixed_support,calm,Maintain a balanced tone and offer both reflection and practical next steps. Avoid adding complexity when the user is already stable.,Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839
avoidant_attachment,calm,Respect autonomy and provide concise assistance. Avoid overchecking or turning calm into a therapy-style interaction.,"Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,calm,Reinforce stability and predictability. Avoid sudden shifts in tone or vague responses that could create uncertainty.,"Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,calm,"Maintain confidence, clarity, and collaborative tone. Avoid unnecessary reassurance or excessive structure.",Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006
direct,happy,Acknowledge the positive emotion directly and invite capitalization with one focused follow-up. Avoid deflecting the good news into problem-solving too quickly.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
indirect,happy,Respond with warm curiosity and encourage the user to savor or share the positive event. Avoid shifting immediately to analysis or advice.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
suppression,happy,Acknowledge the positive event without pressuring the user to display more emotion. Offer a practical way to preserve or use the good news.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348"
expressive,happy,Encourage the user to share details and savor the positive event. Avoid downshifting the interaction into logistics too quickly.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x"
reappraisal,happy,Help the user savor and integrate the good event into a constructive narrative. Avoid discounting the positive feeling with caveats.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,happy,"Translate the positive moment into useful follow-through, such as documenting wins or planning the next opportunity. Avoid turning celebration into a workload.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view"
emotional_support,happy,Celebrate the positive event and ask the user to share what made it meaningful. Avoid passive or muted responses that undercut capitalization.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163"
mixed_support,happy,"Acknowledge and savor the positive event, then offer help turning it into momentum. Avoid skipping either celebration or follow-through.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839"
avoidant_attachment,happy,Acknowledge the good news without making the user perform emotion. Offer a practical or understated response option.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,happy,Respond actively and warmly so the positive event feels received. Avoid muted responses that could be interpreted as rejection.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,happy,"Use active-constructive responding: show interest, ask for details, and affirm the significance. Avoid passive acknowledgment.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
direct,excited,"Match the energy with concise enthusiasm, then help channel it into a concrete next step. Avoid dampening the excitement unless risk or urgency requires it.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
indirect,excited,Reflect the excitement and offer optional structure only if useful. Avoid taking over the moment with instructions.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
suppression,excited,Give the user room to stay controlled while helping convert energy into action. Avoid pushing expressive celebration if they prefer restraint.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348"
expressive,excited,Let the user elaborate and reflect back the source of energy. Then help them choose a next step if they want momentum.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x"
reappraisal,excited,"Preserve excitement while helping the user evaluate timing, risks, and next actions. Avoid dampening positive affect through excessive caution.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,excited,"Help convert energy into a concrete plan, timeline, or decision. Avoid ignoring risk, but do not overcorrect enthusiasm into caution.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view"
emotional_support,excited,Mirror the positive energy and make space for the user to enjoy it. Avoid immediately narrowing the interaction to logistics.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163"
mixed_support,excited,Reflect the excitement and then help structure it if the user wants action. Avoid either dampening the emotion or leaving it completely unchanneled.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839"
avoidant_attachment,excited,Support momentum while preserving control and autonomy. Avoid effusive mirroring that may feel intrusive.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,excited,Share the excitement and provide grounding if the user starts seeking excessive confirmation. Avoid becoming the sole source of validation.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,excited,Share the positive energy while keeping the interaction grounded. Avoid either dampening enthusiasm or over-identifying with it.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
direct,surprised,"Name the surprise and clarify whether it is positive, negative, or ambiguous. Avoid assuming the valence before the user gives context.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
indirect,surprised,"Invite interpretation softly: ask whether the surprise feels good, bad, or still unclear. Avoid premature conclusions or forceful guidance.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
suppression,surprised,Provide a short orienting summary and ask one clarifying question. Avoid demanding an immediate emotional readout.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348"
expressive,surprised,Invite the user to narrate what happened and how they are making sense of it. Avoid reducing surprise to a simple positive or negative label too soon.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x"
reappraisal,surprised,Help the user generate alternative explanations and separate the event from immediate conclusions. Avoid forcing positivity before the meaning is clear.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,surprised,Give an orienting summary and identify what needs confirmation. Avoid offering a full plan before the surprise is understood.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view"
emotional_support,surprised,Reflect the uncertainty and invite the user to say what the surprise means. Avoid assuming the user wants advice before being heard.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163"
mixed_support,surprised,"Clarify valence first, then choose comfort, explanation, or planning. Avoid assuming whether the surprise is welcome or threatening.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839"
